_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
218737,10583120,-74.181732672,4.60092219299997,CL 65  S- KR 78   02,2022,Octubre,25,martes,19,54,Bosa,Atropello,N/A,N/A,Con Heridos,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
218774,10582125,-74.098148688,4.572328895,CL 27  S- KR 10   02,2022,Octubre,2,domingo,17,30,Rafael Uribe Uribe,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218775,10582139,-74.079858402,4.73508622399999,CL 145  - KR 83   02,2022,Octubre,1,sábado,7,34,Suba,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218776,10582143,-74.165,4.691,CL 17  - KR 129   02,2022,Octubre,1,sábado,18,40,Fontibón,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218777,10582159,-74.11,4.545,CL 49 B  S- KR 3   02,2022,Octubre,2,domingo,17,45,Rafael Uribe Uribe,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
218778,10582160,-74.046,4.675,KR 10  - CL 93 A  02,2022,Octubre,2,domingo,13,8,Chapinero,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218779,10582166,-74.098,4.604,CL 5 A  - KR 28 A  02,2022,Octubre,2,domingo,18,29,Los Mártires,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219009,10582983,-74.101193965,4.585908308,KR 19  - CL 17  S 02,2022,Octubre,21,viernes,21,30,Antonio Nariño,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219010,10582994,-74.085,4.589,KR 10  - CL 1  S 02,2022,Octubre,22,sábado,2,46,Antonio Nariño,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219011,10583001,-74.103,4.682,KR 74  - CL 65 A  02,2022,Octubre,22,sábado,17,0,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
219012,10583017,-74.094,4.688,KR 72  - CL 73   02,2022,Octubre,21,viernes,5,45,Engativá,Choque,Vehículo,N/A,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219070,10582168,-74.145,4.539,KR 18 C A - CL 77 A  S 02,2022,Octubre,3,lunes,15,27,Rafael Uribe Uribe,Atropello,N/A,N/A,Con Heridos,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219071,10582301,-74.16141880037,4.59618532278,CL 57 R  S- KR 70 C  02,2022,Octubre,4,martes,23,5,Bosa,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219072,10582303,-74.10857109015,4.70237945764,KR 92  - CL 75   02,2022,Octubre,6,jueves,3,57,Engativá,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
219107,10582524,-74.121,4.603,KR 50  - AV AVENIDA PRIMERO DE MAYO  02,2022,Octubre,9,domingo,18,40,Puente Aranda,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
219108,10582529,-74.121,4.556,CL 51  S- KR 7   02,2022,Octubre,10,lunes,15,0,Rafael Uribe Uribe,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219109,10582535,-74.11,4.505,KR 7  - CL 89  S 02,2022,Octubre,10,lunes,1,20,Usaquén,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
219110,10582669,-74.105,4.705,CL 80  - KR 90 A  02,2022,Octubre,13,jueves,10,0,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
